Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Vinland Saga,45,89,8.73,719140.0,1289350,39681,TV,24,Finished Airing,Summer,2019,Adventure,Seinen
Vinland Saga,45,89,8.73,719140.0,1289350,39681,TV,24,Finished Airing,Summer,2019,Drama,Seinen
Chuunibyou demo Koi ga Shitai!,1130,90,7.71,739786.0,1284439,17281,TV,12,Finished Airing,Fall,2012,Comedy,
Chuunibyou demo Koi ga Shitai!,1130,90,7.71,739786.0,1284439,17281,TV,12,Finished Airing,Fall,2012,Romance,
Bungou Stray Dogs,882,91,7.82,637246.0,1263146,24376,TV,12,Finished Airing,Spring,2016,Action,Seinen
Bungou Stray Dogs,882,91,7.82,637246.0,1263146,24376,TV,12,Finished Airing,Spring,2016,Mystery,Seinen
Bungou Stray Dogs,882,91,7.82,637246.0,1263146,24376,TV,12,Finished Airing,Spring,2016,Supernatural,Seinen
Spy x Family,63,92,8.66,753074.0,1262524,37019,TV,12,Finished Airing,Spring,2022,Action,Shounen
Spy x Family,63,92,8.66,753074.0,1262524,37019,TV,12,Finished Airing,Spring,2022,Award Winning,Shounen
Spy x Family,63,92,8.66,753074.0,1262524,37019,TV,12,Finished Airing,Spring,2022,Comedy,Shounen
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Adventure,
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Drama,
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Fantasy,
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Mystery,
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Sci-Fi,
Owari no Seraph,1771,94,7.49,684327.0,1251891,13153,TV,12,Finished Airing,Spring,2015,Action,Shounen
Owari no Seraph,1771,94,7.49,684327.0,1251891,13153,TV,12,Finished Airing,Spring,2015,Drama,Shounen
Owari no Seraph,1771,94,7.49,684327.0,1251891,13153,TV,12,Finished Airing,Spring,2015,Supernatural,Shounen
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Adventure,
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Award Winning,
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Drama,
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Fantasy,
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Romance,
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,72,96,8.64,777104.0,1219271,18537,TV,12,Finished Airing,Spring,2020,,Seinen
